МУ210-412 Номер: 126182230532233226
Текущий IP адрес;192.168.1.99
Текущая маска подсети;255.255.0.0
Текущий IP адрес шлюза;192.168.1.1
Протокол;Modbus TCP
Порядок байт;Старшим байтом вперёд
Порядок регистров;Младшим регистром вперёд
Параметр;Группа;Адрес;Адрес (hex);Количество регистров;Функция чтения;Функция записи;Тип данных
Период низкочастотного ШИМ;Выход 9;316;0x013C;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 9;348;0x015C;1;3;16;Unsigned 16
Безопасное состояние;Выход 9;482;0x01E2;1;3;16;Unsigned 16
Режим работы выхода;Выход 10;281;0x0119;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 10;317;0x013D;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 10;349;0x015D;1;3;16;Unsigned 16
Безопасное состояние;Выход 10;483;0x01E3;1;3;16;Unsigned 16
Режим работы выхода;Выход 11;282;0x011A;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 11;318;0x013E;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 11;350;0x015E;1;3;16;Unsigned 16
Безопасное состояние;Выход 11;484;0x01E4;1;3;16;Unsigned 16
Режим работы выхода;Выход 12;283;0x011B;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 12;319;0x013F;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 12;351;0x015F;1;3;16;Unsigned 16
Безопасное состояние;Выход 12;485;0x01E5;1;3;16;Unsigned 16
Режим работы выхода;Выход 13;284;0x011C;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 13;320;0x0140;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 13;352;0x0160;1;3;16;Unsigned 16
Безопасное состояние;Выход 13;486;0x01E6;1;3;16;Unsigned 16
Режим работы выхода;Выход 14;285;0x011D;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 14;321;0x0141;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 14;353;0x0161;1;3;16;Unsigned 16
Безопасное состояние;Выход 14;487;0x01E7;1;3;16;Unsigned 16
Режим работы выхода;Выход 15;286;0x011E;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 15;322;0x0142;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 15;354;0x0162;1;3;16;Unsigned 16
Безопасное состояние;Выход 15;488;0x01E8;1;3;16;Unsigned 16
Режим работы выхода;Выход 16;287;0x011F;1;3;16;Enum 2
Период низкочастотного ШИМ;Выход 16;323;0x0143;1;3;16;Unsigned 16
Коэффициент заполнения ШИМ;Выход 16;355;0x0163;1;3;16;Unsigned 16
Безопасное состояние;Выход 16;489;0x01E9;1;3;16;Unsigned 16
